,Wavelength,V1,V2,Gain,Out
0,543.1,0.05,0.05,1,0.0002906250000000001
1,543.1,0.09593023255813954,0.05,1,0.00031953125000000005
2,543.1,0.1418604651162791,0.05,1,0.00030234375000000004
3,543.1,0.18779069767441858,0.05,1,0.0003000000000000001
4,543.1,0.23372093023255813,0.05,1,0.00030156250000000007
5,543.1,0.2796511627906977,0.05,1,0.000309375
6,543.1,0.3255813953488372,0.05,1,0.00027656250000000006
7,543.1,0.3715116279069767,0.05,1,0.0002875000000000001
8,543.1,0.4174418604651163,0.05,1,0.00030703125000000007
9,543.1,0.4633720930232558,0.05,1,0.00029375000000000007
10,543.1,0.5093023255813954,0.05,1,0.0002992187500000001
11,543.1,0.555232558139535,0.05,1,0.0002921875000000001
12,543.1,0.6011627906976744,0.05,1,0.00030156250000000007
13,543.1,0.647093023255814,0.05,1,0.0003132812500000001
14,543.1,0.6930232558139535,0.05,1,0.00028828125000000007
15,543.1,0.7389534883720931,0.05,1,0.00028437500000000007
16,543.1,0.7848837209302326,0.05,1,0.0002796875000000001
17,543.1,0.8308139534883722,0.05,1,0.00029765625000000007
18,543.1,0.8767441860465117,0.05,1,0.0002921875000000001
19,543.1,0.9226744186046513,0.05,1,0.00027812500000000005
20,543.1,0.9686046511627908,0.05,1,0.00028984375000000006
21,543.1,1.0145348837209303,0.05,1,0.0002757812500000001
22,543.1,1.06046511627907,0.05,1,0.0002828125000000001
23,543.1,1.1063953488372094,0.05,1,0.0002789062500000001
24,543.1,1.1523255813953488,0.05,1,0.00026875000000000005
25,543.1,1.1982558139534885,0.05,1,0.00024843750000000007
26,543.1,1.244186046511628,0.05,1,0.00028203125000000006
27,543.1,1.2901162790697676,0.05,1,0.0002757812500000001
28,543.1,1.336046511627907,0.05,1,0.00026328125000000006
29,543.1,1.3819767441860467,0.05,1,0.0002679687500000001
30,543.1,1.427906976744186,0.05,1,0.00025859375000000003
31,543.1,1.4738372093023258,0.05,1,0.0002679687500000001
32,543.1,1.5197674418604652,0.05,1,0.00026484375000000005
33,543.1,1.5656976744186046,0.05,1,0.00026875000000000005
34,543.1,1.6116279069767443,0.05,1,0.00027031250000000004
35,543.1,1.6575581395348837,0.05,1,0.00026328125000000006
36,543.1,1.7034883720930234,0.05,1,0.0002757812500000001
37,543.1,1.7494186046511628,0.05,1,0.0002601562500000001
38,543.1,1.7953488372093025,0.05,1,0.00026328125000000006
39,543.1,1.841279069767442,0.05,1,0.0002640625000000001
40,543.1,1.8872093023255816,0.05,1,0.00026093750000000005
41,543.1,1.933139534883721,0.05,1,0.0002718750000000001
42,543.1,1.9790697674418605,0.05,1,0.00027109375000000007
43,543.1,2.025,0.05,1,0.00024531250000000003
44,543.1,2.0709302325581396,0.05,1,0.00026718750000000006
45,543.1,2.116860465116279,0.05,1,0.0002656250000000001
46,543.1,2.1627906976744184,0.05,1,0.00025078125000000003
47,543.1,2.208720930232558,0.05,1,0.00024140625000000003
48,543.1,2.2546511627906973,0.05,1,0.00025234375000000007
49,543.1,2.300581395348837,0.05,1,0.00024531250000000003
50,543.1,2.3465116279069766,0.05,1,0.00025859375000000003
51,543.1,2.3924418604651163,0.05,1,0.00023828125000000005
52,543.1,2.4383720930232555,0.05,1,0.00025000000000000006
53,543.1,2.484302325581395,0.05,1,0.00026875000000000005
54,543.1,2.530232558139535,0.05,1,0.00024296875000000005
55,543.1,2.5761627906976745,0.05,1,0.00024375000000000004
56,543.1,2.6220930232558137,0.05,1,0.000246875
57,543.1,2.6680232558139534,0.05,1,0.00025078125000000003
58,543.1,2.713953488372093,0.05,1,0.0002679687500000001
59,543.1,2.7598837209302323,0.05,1,0.00027656250000000006
60,543.1,2.805813953488372,0.05,1,0.00026250000000000004
61,543.1,2.8517441860465116,0.05,1,0.00026875000000000005
62,543.1,2.8976744186046512,0.05,1,0.0002835937500000001
63,543.1,2.9436046511627905,0.05,1,0.0003046875000000001
64,543.1,2.98953488372093,0.05,1,0.0003062500000000001
65,543.1,3.03546511627907,0.05,1,0.0003507812500000001
66,543.1,3.081395348837209,0.05,1,0.00037265625000000005
67,543.1,3.1273255813953487,0.05,1,0.0004070312500000001
68,543.1,3.1732558139534883,0.05,1,0.00044765625000000003
69,543.1,3.219186046511628,0.05,1,0.0004781250000000001
70,543.1,3.265116279069767,0.05,1,0.0005171875000000001
71,543.1,3.311046511627907,0.05,1,0.0005546875000000002
72,543.1,3.3569767441860465,0.05,1,0.0005875000000000001
73,543.1,3.4029069767441857,0.05,1,0.0006406250000000002
74,543.1,3.4488372093023254,0.05,1,0.00069453125
75,543.1,3.494767441860465,0.05,1,0.0007421875000000001
76,543.1,3.5406976744186047,0.05,1,0.0007773437500000001
77,543.1,3.586627906976744,0.05,1,0.000834375
78,543.1,3.6325581395348836,0.05,1,0.0008796875
79,543.1,3.6784883720930233,0.05,1,0.00090546875
80,543.1,3.724418604651163,0.05,1,0.0009734375
81,543.1,3.770348837209302,0.05,1,0.0010148437500000001
82,543.1,3.816279069767442,0.05,1,0.0010507812500000003
83,543.1,3.8622093023255815,0.05,1,0.0010671875
84,543.1,3.9081395348837207,0.05,1,0.0011085937500000004
85,543.1,3.9540697674418603,0.05,1,0.0011328125
86,543.1,4.0,0.05,1,0.0011546875
87,543.1,0.05,0.05,1,0.00023593750000000004
88,543.1,0.05,0.09593023255813954,1,0.000209375
89,543.1,0.05,0.1418604651162791,1,0.00023281250000000003
90,543.1,0.05,0.18779069767441858,1,0.00022343750000000003
91,543.1,0.05,0.23372093023255813,1,0.00021328125000000006
92,543.1,0.05,0.2796511627906977,1,0.00020625
93,543.1,0.05,0.3255813953488372,1,0.00021093750000000002
94,543.1,0.05,0.3715116279069767,1,0.00022109375000000002
95,543.1,0.05,0.4174418604651163,1,0.0002140625
96,543.1,0.05,0.4633720930232558,1,0.00020781250000000004
97,543.1,0.05,0.5093023255813954,1,0.00021562500000000002
98,543.1,0.05,0.555232558139535,1,0.00020546875
99,543.1,0.05,0.6011627906976744,1,0.00020781250000000004
100,543.1,0.05,0.647093023255814,1,0.00020781250000000004
101,543.1,0.05,0.6930232558139535,1,0.00018437500000000002
102,543.1,0.05,0.7389534883720931,1,0.00021093750000000002
103,543.1,0.05,0.7848837209302326,1,0.0002
104,543.1,0.05,0.8308139534883722,1,0.00022187500000000007
105,543.1,0.05,0.8767441860465117,1,0.00020312500000000004
106,543.1,0.05,0.9226744186046513,1,0.0001953125
107,543.1,0.05,0.9686046511627908,1,0.0001984375
108,543.1,0.05,1.0145348837209303,1,0.00020390625000000004
109,543.1,0.05,1.06046511627907,1,0.00020234375000000005
110,543.1,0.05,1.1063953488372094,1,0.00021015625
111,543.1,0.05,1.1523255813953488,1,0.000209375
112,543.1,0.05,1.1982558139534885,1,0.00020468750000000006
113,543.1,0.05,1.244186046511628,1,0.00020703125000000005
114,543.1,0.05,1.2901162790697676,1,0.00020625
115,543.1,0.05,1.336046511627907,1,0.00019921875000000001
116,543.1,0.05,1.3819767441860467,1,0.00020625000000000005
117,543.1,0.05,1.427906976744186,1,0.00019765625
118,543.1,0.05,1.4738372093023258,1,0.00020703125000000002
119,543.1,0.05,1.5197674418604652,1,0.00020312500000000002
120,543.1,0.05,1.5656976744186046,1,0.00020546875000000006
121,543.1,0.05,1.6116279069767443,1,0.00019609375
122,543.1,0.05,1.6575581395348837,1,0.00017734375000000004
123,543.1,0.05,1.7034883720930234,1,0.0002046875
124,543.1,0.05,1.7494186046511628,1,0.0001828125
125,543.1,0.05,1.7953488372093025,1,0.00019531250000000004
126,543.1,0.05,1.841279069767442,1,0.00018515625000000005
127,543.1,0.05,1.8872093023255816,1,0.00017812500000000003
128,543.1,0.05,1.933139534883721,1,0.00017656250000000002
129,543.1,0.05,1.9790697674418605,1,0.00018828125
130,543.1,0.05,2.025,1,0.00019375000000000002
131,543.1,0.05,2.0709302325581396,1,0.000178125
132,543.1,0.05,2.116860465116279,1,0.0001734375
133,543.1,0.05,2.1627906976744184,1,0.00018125000000000001
134,543.1,0.05,2.208720930232558,1,0.00018984375000000004
135,543.1,0.05,2.2546511627906973,1,0.00017421875000000003
136,543.1,0.05,2.300581395348837,1,0.00017343750000000003
137,543.1,0.05,2.3465116279069766,1,0.00018046875000000002
138,543.1,0.05,2.3924418604651163,1,0.00016796875
139,543.1,0.05,2.4383720930232555,1,0.0001679687499999963
